"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs","off_epa","def_epa","total_epa"
2008,"CAR",12,4,0,1,"DIV","99.54",0.066621,-0.033083,0.099704
2008,"CHI",9,7,0,0,NA,"43.96",-0.093501,-0.059379,-0.034122
2008,"CIN",4,11,1,0,NA,"0.01",-0.173961,-0.002118,-0.171843
2008,"CLE",4,12,0,0,NA,"0.01",-0.14982,0.033286,-0.183106
2008,"DAL",9,7,0,0,NA,"43.96",-0.019206,-0.032417,0.013211
2008,"DEN",8,8,0,0,NA,"10.77",0.103175,0.146416,-0.043241
2008,"DET",0,16,0,0,NA,"0.00",-0.160488,0.176206,-0.336694
2008,"GB",6,10,0,0,NA,"0.29",0.052714,-0.022615,0.075329
2008,"HOU",8,8,0,0,NA,"10.77",0.036415,0.055727,-0.019312
2008,"IND",12,4,0,1,"WC","99.54",0.115936,-0.011833,0.127769
2008,"JAX",5,11,0,0,NA,"0.04",-0.006557,0.067635,-0.074192
2008,"KC",2,14,0,0,NA,"0.00",-0.052905,0.076006,-0.128911
2008,"MIA",11,5,0,1,"WC","97.07",0.086581,0.008948,0.077633
2008,"MIN",10,6,0,1,"WC","83.60",-0.034984,-0.109118,0.074134
2008,"NE",11,5,0,0,NA,"97.07",0.104122,0.011788,0.092334
2008,"NO",8,8,0,0,NA,"10.77",0.116572,0.041704,0.074868
2008,"NYG",12,4,0,1,"DIV","99.54",0.09242,-0.054323,0.146743
2008,"NYJ",9,7,0,0,NA,"43.96",0.03606,-0.023872,0.059932
2008,"OAK",5,11,0,0,NA,"0.04",NA,NA,NA
2008,"PHI",9,6,1,1,"CON","43.96",0.004474,-0.158401,0.162875
2008,"PIT",12,4,0,1,"CHMP","99.54",-0.032089,-0.188699,0.15661
2008,"SD",8,8,0,1,"DIV","10.77",NA,NA,NA
2008,"SEA",4,12,0,0,NA,"0.01",-0.058576,0.069191,-0.127767
2008,"SF",7,9,0,0,NA,"1.82",-0.055678,0.025964,-0.081642
2008,"STL",2,14,0,0,NA,"0.00",NA,NA,NA
2008,"TB",9,7,0,0,NA,"43.96",-0.033056,-0.082136,0.04908
2008,"TEN",13,3,0,1,"DIV","99.93",-0.001987,-0.11662,0.114633
2008,"WAS",8,8,0,0,NA,"10.77",-0.033604,-0.028013,-0.005591
2009,"ARI",10,6,0,1,"DIV","83.60",-0.025564,-0.04468,0.019116
2009,"ATL",9,7,0,0,NA,"43.96",0.039802,0.010534,0.029268
2009,"BAL",9,7,0,1,"DIV","43.96",0.057926,-0.086228,0.144154
2009,"BUF",6,10,0,0,NA,"0.29",-0.126662,-0.040612,-0.08605
2009,"CAR",8,8,0,0,NA,"10.77",-0.056286,-0.078081,0.021795
2009,"CHI",7,9,0,0,NA,"1.82",-0.08514,0.004641,-0.089781
2009,"CIN",10,6,0,1,"WC","83.60",-0.018452,-0.060964,0.042512
2009,"CLE",5,11,0,0,NA,"0.04",-0.169758,0.0717,-0.241458
2009,"DAL",11,5,0,1,"DIV","97.07",0.090284,-0.036786,0.12707
2009,"DEN",8,8,0,0,NA,"10.77",-0.028132,-0.065832,0.0377
2009,"DET",2,14,0,0,NA,"0.00",-0.169314,0.079532,-0.248846
2009,"GB",11,5,0,1,"WC","97.07",0.124264,-0.145869,0.270133
2009,"HOU",9,7,0,0,NA,"43.96",0.04268,-0.030411,0.073091
2009,"IND",14,2,0,1,"SB","99.99",0.125197,-0.035903,0.1611
2009,"JAX",7,9,0,0,NA,"1.82",0.007933,0.089825,-0.081892
2009,"KC",4,12,0,0,NA,"0.01",-0.122794,0.021341,-0.144135
2009,"MIA",7,9,0,0,NA,"1.82",0.001967,0.046906,-0.044939
2009,"MIN",12,4,0,1,"CON","99.54",0.08406,-0.074532,0.158592
2009,"NE",10,6,0,1,"WC","83.60",0.116817,-0.031838,0.148655
2009,"NO",13,3,0,1,"CHMP","99.93",0.117068,-0.049296,0.166364
2009,"NYG",8,8,0,0,NA,"10.77",0.061059,0.06901,-0.007951
2009,"NYJ",9,7,0,1,"CON","43.96",-0.059906,-0.171587,0.111681
2009,"OAK",5,11,0,0,NA,"0.04",NA,NA,NA
2009,"PHI",11,5,0,1,"WC","97.07",0.047587,-0.075693,0.12328
2009,"PIT",9,7,0,0,NA,"43.96",0.042618,-0.026263,0.068881
2009,"SD",13,3,0,1,"DIV","99.93",NA,NA,NA
2009,"SEA",5,11,0,0,NA,"0.04",-0.108157,0.032071,-0.140228
2009,"SF",8,8,0,0,NA,"10.77",-0.067152,-0.125295,0.058143
2009,"STL",1,15,0,0,NA,"0.00",NA,NA,NA
2009,"TB",3,13,0,0,NA,"0.00",-0.155515,0.042754,-0.198269
2009,"TEN",8,8,0,0,NA,"10.77",0.010035,0.058611,-0.048576
2009,"WAS",4,12,0,0,NA,"0.01",-0.04772,-0.007569,-0.040151
2010,"ARI",5,11,0,0,NA,"0.04",-0.219207,-0.015532,-0.203675
2010,"ATL",13,3,0,1,"DIV","99.93",0.066563,-0.047321,0.113884
2010,"BAL",12,4,0,1,"DIV","99.54",0.030243,-0.048063,0.078306
2010,"BUF",4,12,0,0,NA,"0.01",-0.107284,0.061507,-0.168791
2010,"CAR",2,14,0,0,NA,"0.00",-0.248818,-0.022335,-0.226483
2010,"CHI",11,5,0,1,"CON","97.07",-0.092754,-0.106385,0.013631
2010,"CIN",4,12,0,0,NA,"0.01",-0.039698,0.023289,-0.062987
2010,"CLE",5,11,0,0,NA,"0.04",-0.078706,0.020146,-0.098852
2010,"DAL",6,10,0,0,NA,"0.29",-0.000277,0.024067,-0.024344
2010,"DEN",4,12,0,0,NA,"0.01",-0.017196,0.120447,-0.137643
2010,"DET",6,10,0,0,NA,"0.29",-0.043865,-0.029514,-0.014351
2010,"GB",10,6,0,1,"CHMP","83.60",0.075702,-0.111726,0.187428
